id,district,crime_type,crime_category,year,crime_count,latitude,longitude,crime_rate,ipc_cases,sll_cases,total_cases,conviction_rate,chargesheet_rate,pendency_rate,police_range,risk_level,source_table
36,Bidar,Missing Persons,Public Safety,2024,27,17.9133,77.5301,148.1,2976,874,3850,31.4,81.2,85.2,Kalaburagi Range,High,Table 14.1 - Missing and Traced Children (District-wise)
37,Vijayapura,Murder,Violent Crime,2024,65,16.8302,75.71,108.1,3005,1328,4333,25.5,90.4,90.2,Northern Range,Medium,Table 2A.1 - Murder Cases 2022-2024
38,Vijayapura,Kidnapping & Abduction,Violent Crime,2024,102,16.8302,75.71,108.1,3005,1328,4333,25.5,90.4,90.2,Northern Range,Medium,Table 2B.1 - Kidnapping & Abduction (District-wise)
39,Vijayapura,Crime Against Women,Crime Against Women,2024,440,16.8302,75.71,108.1,3005,1328,4333,25.5,90.4,90.2,Northern Range,Medium,Table 3.1 - Crime against Women (IPC+SLL)
40,Vijayapura,Economic Offence,Financial Crime,2024,140,16.8302,75.71,108.1,3005,1328,4333,25.5,90.4,90.2,Northern Range,Medium,Table 9.1 - Economic Offences (District-wise)
41,Vijayapura,Cyber Crime,Cyber Crime,2024,80,16.8302,75.71,108.1,3005,1328,4333,25.5,90.4,90.2,Northern Range,Medium,Table 10.1 - Cyber Crimes (District-wise)
42,Vijayapura,Missing Persons,Public Safety,2024,80,16.8302,75.71,108.1,3005,1328,4333,25.5,90.4,90.2,Northern Range,Medium,Table 14.1 - Missing and Traced Children (District-wise)
43,Chikkaballapura,Murder,Violent Crime,2024,27,13.4351,77.7315,191.6,2701,1183,3884,38.5,77.2,85.0,Central Range,High,Table 2A.1 - Murder Cases 2022-2024
44,Chikkaballapura,Kidnapping & Abduction,Violent Crime,2024,74,13.4351,77.7315,191.6,2701,1183,3884,38.5,77.2,85.0,Central Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
45,Chikkaballapura,Crime Against Women,Crime Against Women,2024,459,13.4351,77.7315,191.6,2701,1183,3884,38.5,77.2,85.0,Central Range,High,Table 3.1 - Crime against Women (IPC+SLL)
46,Chikkaballapura,Economic Offence,Financial Crime,2024,125,13.4351,77.7315,191.6,2701,1183,3884,38.5,77.2,85.0,Central Range,High,Table 9.1 - Economic Offences (District-wise)
47,Chikkaballapura,Cyber Crime,Cyber Crime,2024,189,13.4351,77.7315,191.6,2701,1183,3884,38.5,77.2,85.0,Central Range,High,Table 10.1 - Cyber Crimes (District-wise)
48,Chikkaballapura,Missing Persons,Public Safety,2024,64,13.4351,77.7315,191.6,2701,1183,3884,38.5,77.2,85.0,Central Range,High,Table 14.1 - Missing and Traced Children (District-wise)
49,Chamarajnagar,Murder,Violent Crime,2024,12,11.9236,76.9456,280.7,2031,728,2759,31.7,89.9,94.3,Southern Range,High,Table 2A.1 - Murder Cases 2022-2024
50,Chamarajnagar,Kidnapping & Abduction,Violent Crime,2024,32,11.9236,76.9456,280.7,2031,728,2759,31.7,89.9,94.3,Southern Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
51,Chamarajnagar,Crime Against Women,Crime Against Women,2024,374,11.9236,76.9456,280.7,2031,728,2759,31.7,89.9,94.3,Southern Range,High,Table 3.1 - Crime against Women (IPC+SLL)
52,Chamarajnagar,Economic Offence,Financial Crime,2024,39,11.9236,76.9456,280.7,2031,728,2759,31.7,89.9,94.3,Southern Range,High,Table 9.1 - Economic Offences (District-wise)
53,Chamarajnagar,Cyber Crime,Cyber Crime,2024,24,11.9236,76.9456,280.7,2031,728,2759,31.7,89.9,94.3,Southern Range,High,Table 10.1 - Cyber Crimes (District-wise)
54,Chamarajnagar,Missing Persons,Public Safety,2024,49,11.9236,76.9456,280.7,2031,728,2759,31.7,89.9,94.3,Southern Range,High,Table 14.1 - Missing and Traced Children (District-wise)
55,Chikkamagaluru,Murder,Violent Crime,2024,31,13.3161,75.772,234.4,2649,1062,3711,25.3,83.0,67.6,Western Range,High,Table 2A.1 - Murder Cases 2022-2024
56,Chikkamagaluru,Kidnapping & Abduction,Violent Crime,2024,76,13.3161,75.772,234.4,2649,1062,3711,25.3,83.0,67.6,Western Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
57,Chikkamagaluru,Crime Against Women,Crime Against Women,2024,454,13.3161,75.772,234.4,2649,1062,3711,25.3,83.0,67.6,Western Range,High,Table 3.1 - Crime against Women (IPC+SLL)
58,Chikkamagaluru,Economic Offence,Financial Crime,2024,68,13.3161,75.772,234.4,2649,1062,3711,25.3,83.0,67.6,Western Range,High,Table 9.1 - Economic Offences (District-wise)
59,Chikkamagaluru,Cyber Crime,Cyber Crime,2024,92,13.3161,75.772,234.4,2649,1062,3711,25.3,83.0,67.6,Western Range,High,Table 10.1 - Cyber Crimes (District-wise)
60,Chikkamagaluru,Missing Persons,Public Safety,2024,32,13.3161,75.772,234.4,2649,1062,3711,25.3,83.0,67.6,Western Range,High,Table 14.1 - Missing and Traced Children (District-wise)
61,Chitradurga,Murder,Violent Crime,2024,31,14.2296,76.3985,238.0,4426,1366,5792,66.9,82.8,95.0,Eastern Range,High,Table 2A.1 - Murder Cases 2022-2024
62,Chitradurga,Kidnapping & Abduction,Violent Crime,2024,107,14.2296,76.3985,238.0,4426,1366,5792,66.9,82.8,95.0,Eastern Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
63,Chitradurga,Crime Against Women,Crime Against Women,2024,784,14.2296,76.3985,238.0,4426,1366,5792,66.9,82.8,95.0,Eastern Range,High,Table 3.1 - Crime against Women (IPC+SLL)
64,Chitradurga,Economic Offence,Financial Crime,2024,109,14.2296,76.3985,238.0,4426,1366,5792,66.9,82.8,95.0,Eastern Range,High,Table 9.1 - Economic Offences (District-wise)
65,Chitradurga,Cyber Crime,Cyber Crime,2024,74,14.2296,76.3985,238.0,4426,1366,5792,66.9,82.8,95.0,Eastern Range,High,Table 10.1 - Cyber Crimes (District-wise)
66,Chitradurga,Missing Persons,Public Safety,2024,56,14.2296,76.3985,238.0,4426,1366,5792,66.9,82.8,95.0,Eastern Range,High,Table 14.1 - Missing and Traced Children (District-wise)
67,Dakshina Kannada,Murder,Violent Crime,2024,13,12.9141,74.856,149.5,1809,319,2128,67.4,80.4,78.7,Western Range,High,Table 2A.1 - Murder Cases 2022-2024
68,Dakshina Kannada,Kidnapping & Abduction,Violent Crime,2024,26,12.9141,74.856,149.5,1809,319,2128,67.4,80.4,78.7,Western Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
69,Dakshina Kannada,Crime Against Women,Crime Against Women,2024,213,12.9141,74.856,149.5,1809,319,2128,67.4,80.4,78.7,Western Range,High,Table 3.1 - Crime against Women (IPC+SLL)
70,Dakshina Kannada,Economic Offence,Financial Crime,2024,61,12.9141,74.856,149.5,1809,319,2128,67.4,80.4,78.7,Western Range,High,Table 9.1 - Economic Offences (District-wise)
71,Dakshina Kannada,Cyber Crime,Cyber Crime,2024,104,12.9141,74.856,149.5,1809,319,2128,67.4,80.4,78.7,Western Range,High,Table 10.1 - Cyber Crimes (District-wise)
72,Dakshina Kannada,Missing Persons,Public Safety,2024,17,12.9141,74.856,149.5,1809,319,2128,67.4,80.4,78.7,Western Range,High,Table 14.1 - Missing and Traced Children (District-wise)
73,Davanagere,Murder,Violent Crime,2024,27,14.4644,75.9218,172.9,3146,1302,4448,46.9,73.3,72.8,Eastern Range,High,Table 2A.1 - Murder Cases 2022-2024
74,Davanagere,Kidnapping & Abduction,Violent Crime,2024,121,14.4644,75.9218,172.9,3146,1302,4448,46.9,73.3,72.8,Eastern Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
75,Davanagere,Crime Against Women,Crime Against Women,2024,605,14.4644,75.9218,172.9,3146,1302,4448,46.9,73.3,72.8,Eastern Range,High,Table 3.1 - Crime against Women (IPC+SLL)
76,Davanagere,Economic Offence,Financial Crime,2024,108,14.4644,75.9218,172.9,3146,1302,4448,46.9,73.3,72.8,Eastern Range,High,Table 9.1 - Economic Offences (District-wise)
77,Davanagere,Cyber Crime,Cyber Crime,2024,142,14.4644,75.9218,172.9,3146,1302,4448,46.9,73.3,72.8,Eastern Range,High,Table 10.1 - Cyber Crimes (District-wise)
78,Davanagere,Missing Persons,Public Safety,2024,58,14.4644,75.9218,172.9,3146,1302,4448,46.9,73.3,72.8,Eastern Range,High,Table 14.1 - Missing and Traced Children (District-wise)
79,Dharwad,Murder,Violent Crime,2024,20,15.4589,75.0078,94.3,1066,543,1609,25.3,76.8,65.2,Northern Range,Medium,Table 2A.1 - Murder Cases 2022-2024
80,Dharwad,Kidnapping & Abduction,Violent Crime,2024,24,15.4589,75.0078,94.3,1066,543,1609,25.3,76.8,65.2,Northern Range,Medium,Table 2B.1 - Kidnapping & Abduction (District-wise)
81,Dharwad,Crime Against Women,Crime Against Women,2024,138,15.4589,75.0078,94.3,1066,543,1609,25.3,76.8,65.2,Northern Range,Medium,Table 3.1 - Crime against Women (IPC+SLL)
82,Dharwad,Economic Offence,Financial Crime,2024,34,15.4589,75.0078,94.3,1066,543,1609,25.3,76.8,65.2,Northern Range,Medium,Table 9.1 - Economic Offences (District-wise)
83,Dharwad,Cyber Crime,Cyber Crime,2024,68,15.4589,75.0078,94.3,1066,543,1609,25.3,76.8,65.2,Northern Range,Medium,Table 10.1 - Cyber Crimes (District-wise)
84,Dharwad,Missing Persons,Public Safety,2024,18,15.4589,75.0078,94.3,1066,543,1609,25.3,76.8,65.2,Northern Range,Medium,Table 14.1 - Missing and Traced Children (District-wise)
85,Gadag,Murder,Violent Crime,2024,17,15.429,75.635,89.3,1071,932,2003,41.9,75.8,75.6,Northern Range,Medium,Table 2A.1 - Murder Cases 2022-2024
86,Gadag,Kidnapping & Abduction,Violent Crime,2024,30,15.429,75.635,89.3,1071,932,2003,41.9,75.8,75.6,Northern Range,Medium,Table 2B.1 - Kidnapping & Abduction (District-wise)
87,Gadag,Crime Against Women,Crime Against Women,2024,159,15.429,75.635,89.3,1071,932,2003,41.9,75.8,75.6,Northern Range,Medium,Table 3.1 - Crime against Women (IPC+SLL)
88,Gadag,Economic Offence,Financial Crime,2024,50,15.429,75.635,89.3,1071,932,2003,41.9,75.8,75.6,Northern Range,Medium,Table 9.1 - Economic Offences (District-wise)
89,Gadag,Cyber Crime,Cyber Crime,2024,67,15.429,75.635,89.3,1071,932,2003,41.9,75.8,75.6,Northern Range,Medium,Table 10.1 - Cyber Crimes (District-wise)
90,Gadag,Missing Persons,Public Safety,2024,25,15.429,75.635,89.3,1071,932,2003,41.9,75.8,75.6,Northern Range,Medium,Table 14.1 - Missing and Traced Children (District-wise)
91,Kalaburgi,Murder,Violent Crime,2024,31,17.3297,76.8343,161.5,2617,919,3536,25.9,80.1,80.1,Kalaburagi Range,High,Table 2A.1 - Murder Cases 2022-2024
92,Kalaburgi,Kidnapping & Abduction,Violent Crime,2024,80,17.3297,76.8343,161.5,2617,919,3536,25.9,80.1,80.1,Kalaburagi Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
93,Kalaburgi,Crime Against Women,Crime Against Women,2024,360,17.3297,76.8343,161.5,2617,919,3536,25.9,80.1,80.1,Kalaburagi Range,High,Table 3.1 - Crime against Women (IPC+SLL)
94,Kalaburgi,Economic Offence,Financial Crime,2024,49,17.3297,76.8343,161.5,2617,919,3536,25.9,80.1,80.1,Kalaburagi Range,High,Table 9.1 - Economic Offences (District-wise)
95,Kalaburgi,Cyber Crime,Cyber Crime,2024,33,17.3297,76.8343,161.5,2617,919,3536,25.9,80.1,80.1,Kalaburagi Range,High,Table 10.1 - Cyber Crimes (District-wise)
96,Kalaburgi,Missing Persons,Public Safety,2024,29,17.3297,76.8343,161.5,2617,919,3536,25.9,80.1,80.1,Kalaburagi Range,High,Table 14.1 - Missing and Traced Children (District-wise)
97,Hassan,Murder,Violent Crime,2024,45,13.0072,76.0962,234.6,5097,1103,6200,53.5,81.3,92.0,Southern Range,High,Table 2A.1 - Murder Cases 2022-2024
98,Hassan,Kidnapping & Abduction,Violent Crime,2024,96,13.0072,76.0962,234.6,5097,1103,6200,53.5,81.3,92.0,Southern Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
99,Hassan,Crime Against Women,Crime Against Women,2024,689,13.0072,76.0962,234.6,5097,1103,6200,53.5,81.3,92.0,Southern Range,High,Table 3.1 - Crime against Women (IPC+SLL)
100,Hassan,Economic Offence,Financial Crime,2024,172,13.0072,76.0962,234.6,5097,1103,6200,53.5,81.3,92.0,Southern Range,High,Table 9.1 - Economic Offences (District-wise)
101,Hassan,Cyber Crime,Cyber Crime,2024,131,13.0072,76.0962,234.6,5097,1103,6200,53.5,81.3,92.0,Southern Range,High,Table 10.1 - Cyber Crimes (District-wise)
102,Hassan,Missing Persons,Public Safety,2024,56,13.0072,76.0962,234.6,5097,1103,6200,53.5,81.3,92.0,Southern Range,High,Table 14.1 - Missing and Traced Children (District-wise)
103,Haveri,Murder,Violent Crime,2024,22,14.7936,75.4004,133.8,2448,1001,3449,31.2,69.5,74.6,Eastern Range,High,Table 2A.1 - Murder Cases 2022-2024
104,Haveri,Kidnapping & Abduction,Violent Crime,2024,58,14.7936,75.4004,133.8,2448,1001,3449,31.2,69.5,74.6,Eastern Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
105,Haveri,Crime Against Women,Crime Against Women,2024,367,14.7936,75.4004,133.8,2448,1001,3449,31.2,69.5,74.6,Eastern Range,High,Table 3.1 - Crime against Women (IPC+SLL)
106,Haveri,Economic Offence,Financial Crime,2024,73,14.7936,75.4004,133.8,2448,1001,3449,31.2,69.5,74.6,Eastern Range,High,Table 9.1 - Economic Offences (District-wise)
107,Haveri,Cyber Crime,Cyber Crime,2024,125,14.7936,75.4004,133.8,2448,1001,3449,31.2,69.5,74.6,Eastern Range,High,Table 10.1 - Cyber Crimes (District-wise)
108,Haveri,Missing Persons,Public Safety,2024,21,14.7936,75.4004,133.8,2448,1001,3449,31.2,69.5,74.6,Eastern Range,High,Table 14.1 - Missing and Traced Children (District-wise)
109,Hubballi Dharwad City,Murder,Violent Crime,2024,24,15.3647,75.124,166.6,1816,1109,2925,42.3,74.2,85.1,Commissionerate,High,Table 2A.1 - Murder Cases 2022-2024
110,Hubballi Dharwad City,Kidnapping & Abduction,Violent Crime,2024,79,15.3647,75.124,166.6,1816,1109,2925,42.3,74.2,85.1,Commissionerate,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
111,Hubballi Dharwad City,Crime Against Women,Crime Against Women,2024,318,15.3647,75.124,166.6,1816,1109,2925,42.3,74.2,85.1,Commissionerate,High,Table 3.1 - Crime against Women (IPC+SLL)
112,Hubballi Dharwad City,Economic Offence,Financial Crime,2024,123,15.3647,75.124,166.6,1816,1109,2925,42.3,74.2,85.1,Commissionerate,High,Table 9.1 - Economic Offences (District-wise)
113,Hubballi Dharwad City,Cyber Crime,Cyber Crime,2024,240,15.3647,75.124,166.6,1816,1109,2925,42.3,74.2,85.1,Commissionerate,High,Table 10.1 - Cyber Crimes (District-wise)
114,Hubballi Dharwad City,Missing Persons,Public Safety,2024,42,15.3647,75.124,166.6,1816,1109,2925,42.3,74.2,85.1,Commissionerate,High,Table 14.1 - Missing and Traced Children (District-wise)
115,KGF,Murder,Violent Crime,2024,12,12.9587,78.2663,88.3,786,342,1128,21.0,74.7,61.1,Central Range,Medium,Table 2A.1 - Murder Cases 2022-2024
116,KGF,Kidnapping & Abduction,Violent Crime,2024,36,12.9587,78.2663,88.3,786,342,1128,21.0,74.7,61.1,Central Range,Medium,Table 2B.1 - Kidnapping & Abduction (District-wise)
117,KGF,Crime Against Women,Crime Against Women,2024,159,12.9587,78.2663,88.3,786,342,1128,21.0,74.7,61.1,Central Range,Medium,Table 3.1 - Crime against Women (IPC+SLL)
118,KGF,Economic Offence,Financial Crime,2024,29,12.9587,78.2663,88.3,786,342,1128,21.0,74.7,61.1,Central Range,Medium,Table 9.1 - Economic Offences (District-wise)
119,KGF,Cyber Crime,Cyber Crime,2024,97,12.9587,78.2663,88.3,786,342,1128,21.0,74.7,61.1,Central Range,Medium,Table 10.1 - Cyber Crimes (District-wise)
120,KGF,Missing Persons,Public Safety,2024,22,12.9587,78.2663,88.3,786,342,1128,21.0,74.7,61.1,Central Range,Medium,Table 14.1 - Missing and Traced Children (District-wise)
121,Kodagu,Murder,Violent Crime,2024,23,12.4244,75.7382,275.5,1499,492,1991,21.5,82.3,74.3,Southern Range,High,Table 2A.1 - Murder Cases 2022-2024
122,Kodagu,Kidnapping & Abduction,Violent Crime,2024,40,12.4244,75.7382,275.5,1499,492,1991,21.5,82.3,74.3,Southern Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
123,Kodagu,Crime Against Women,Crime Against Women,2024,215,12.4244,75.7382,275.5,1499,492,1991,21.5,82.3,74.3,Southern Range,High,Table 3.1 - Crime against Women (IPC+SLL)
124,Kodagu,Economic Offence,Financial Crime,2024,84,12.4244,75.7382,275.5,1499,492,1991,21.5,82.3,74.3,Southern Range,High,Table 9.1 - Economic Offences (District-wise)
125,Kodagu,Cyber Crime,Cyber Crime,2024,82,12.4244,75.7382,275.5,1499,492,1991,21.5,82.3,74.3,Southern Range,High,Table 10.1 - Cyber Crimes (District-wise)
126,Kodagu,Missing Persons,Public Safety,2024,19,12.4244,75.7382,275.5,1499,492,1991,21.5,82.3,74.3,Southern Range,High,Table 14.1 - Missing and Traced Children (District-wise)
127,Kolar,Murder,Violent Crime,2024,28,13.1367,78.1298,263.0,2262,455,2717,31.6,82.5,83.5,Central Range,High,Table 2A.1 - Murder Cases 2022-2024
128,Kolar,Kidnapping & Abduction,Violent Crime,2024,80,13.1367,78.1298,263.0,2262,455,2717,31.6,82.5,83.5,Central Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
129,Kolar,Crime Against Women,Crime Against Women,2024,339,13.1367,78.1298,263.0,2262,455,2717,31.6,82.5,83.5,Central Range,High,Table 3.1 - Crime against Women (IPC+SLL)
130,Kolar,Economic Offence,Financial Crime,2024,71,13.1367,78.1298,263.0,2262,455,2717,31.6,82.5,83.5,Central Range,High,Table 9.1 - Economic Offences (District-wise)
131,Kolar,Cyber Crime,Cyber Crime,2024,58,13.1367,78.1298,263.0,2262,455,2717,31.6,82.5,83.5,Central Range,High,Table 10.1 - Cyber Crimes (District-wise)
132,Kolar,Missing Persons,Public Safety,2024,44,13.1367,78.1298,263.0,2262,455,2717,31.6,82.5,83.5,Central Range,High,Table 14.1 - Missing and Traced Children (District-wise)
133,Koppal,Murder,Violent Crime,2024,19,15.3547,76.1547,120.1,1774,1021,2795,58.9,81.1,99.3,Ballari Range,High,Table 2A.1 - Murder Cases 2022-2024
134,Koppal,Kidnapping & Abduction,Violent Crime,2024,43,15.3547,76.1547,120.1,1774,1021,2795,58.9,81.1,99.3,Ballari Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
135,Koppal,Crime Against Women,Crime Against Women,2024,288,15.3547,76.1547,120.1,1774,1021,2795,58.9,81.1,99.3,Ballari Range,High,Table 3.1 - Crime against Women (IPC+SLL)
136,Koppal,Economic Offence,Financial Crime,2024,59,15.3547,76.1547,120.1,1774,1021,2795,58.9,81.1,99.3,Ballari Range,High,Table 9.1 - Economic Offences (District-wise)
137,Koppal,Cyber Crime,Cyber Crime,2024,27,15.3547,76.1547,120.1,1774,1021,2795,58.9,81.1,99.3,Ballari Range,High,Table 10.1 - Cyber Crimes (District-wise)
138,Koppal,Missing Persons,Public Safety,2024,30,15.3547,76.1547,120.1,1774,1021,2795,58.9,81.1,99.3,Ballari Range,High,Table 14.1 - Missing and Traced Children (District-wise)
139,Mandya,Murder,Violent Crime,2024,27,12.5242,76.8958,267.7,4363,1156,5519,41.0,88.4,86.3,Southern Range,High,Table 2A.1 - Murder Cases 2022-2024
140,Mandya,Kidnapping & Abduction,Violent Crime,2024,103,12.5242,76.8958,267.7,4363,1156,5519,41.0,88.4,86.3,Southern Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
141,Mandya,Crime Against Women,Crime Against Women,2024,606,12.5242,76.8958,267.7,4363,1156,5519,41.0,88.4,86.3,Southern Range,High,Table 3.1 - Crime against Women (IPC+SLL)
142,Mandya,Economic Offence,Financial Crime,2024,108,12.5242,76.8958,267.7,4363,1156,5519,41.0,88.4,86.3,Southern Range,High,Table 9.1 - Economic Offences (District-wise)
143,Mandya,Cyber Crime,Cyber Crime,2024,67,12.5242,76.8958,267.7,4363,1156,5519,41.0,88.4,86.3,Southern Range,High,Table 10.1 - Cyber Crimes (District-wise)
144,Mandya,Missing Persons,Public Safety,2024,59,12.5242,76.8958,267.7,4363,1156,5519,41.0,88.4,86.3,Southern Range,High,Table 14.1 - Missing and Traced Children (District-wise)
